Platform,EngagementRate,FollowersGrowth,AvgDailyReach,Impressions,Clicks,ProfileVisits,Followers,ContentType,Likes,Comments,Shares,Sentiment
Instagram,12.23,899,8190,142564,35943,6202,182408,Article,3444,132,18,Positive
Instagram,11.99,769,46210,183957,36831,13013,73991,Story,1736,966,155,Negative
Instagram,7.08,445,48111,106510,6001,19290,181761,Story,1891,925,408,Positive
YouTube,8.59,235,12780,3368,12239,6755,71031,Post,9213,1911,471,Positive
YouTube,9.13,2023,18966,125862,33821,20630,94848,Post,624,1218,1149,Negative
Instagram,11.38,2552,50675,71313,29949,15438,114632,Article,3174,1600,1004,Negative
Facebook,8.16,973,8876,190407,32293,4242,171806,Article,8037,660,269,Negative
YouTube,10.22,1882,29136,74847,17414,14198,29251,Post,9611,745,1498,Positive
Instagram,11.19,2131,17204,117352,1281,29405,17896,Story,7855,1146,560,Positive
YouTube,11.98,1096,11343,145572,29575,9762,17964,Post,7054,251,1100,Negative
YouTube,5.77,2944,35932,193461,9635,21672,176150,Reel,2191,1778,958,Negative
Facebook,8.29,2465,43247,122172,29422,26311,194824,Post,9999,361,23,Negative
Instagram,12.09,2689,17823,192232,42175,9640,17364,Article,2889,340,258,Positive
YouTube,9.19,1051,26071,191347,7033,12038,167267,Reel,4050,961,691,Positive
Facebook,9.51,1640,54247,70449,17650,24207,152836,Reel,4157,1635,1326,Negative
Facebook,5.26,2282,35350,94008,28961,25451,89668,Post,9867,1026,418,Positive
Facebook,8.47,1025,32052,39513,26292,11438,132484,Article,7637,733,1301,Positive
Facebook,8.88,2092,26888,167807,47495,19270,115352,Story,4129,1576,978,Positive
LinkedIn,9.14,2910,15357,164551,45011,3540,152222,Reel,2964,877,1297,Positive
Instagram,8.47,928,58517,120180,898,7286,179352,Article,445,449,1257,Positive
YouTube,7.34,2019,25101,52934,32507,21430,192993,Story,8385,889,1093,Positive
YouTube,7.13,1692,48419,119324,1367,27292,2062,Reel,7910,1070,1210,Positive
Instagram,8.9,1356,31714,39102,9124,4430,90930,Post,4896,592,1033,Negative
Instagram,9.45,1742,29677,178804,39281,27669,20065,Post,1590,33,1189,Negative
LinkedIn,9.15,1588,34432,189926,40462,4412,133396,Article,3191,1280,1439,Positive
Facebook,7.52,2414,33289,187201,28378,28810,16485,Story,4318,657,754,Negative
Instagram,4.95,2723,21116,157542,42544,10250,53224,Story,554,1219,1393,Positive
YouTube,8.73,1340,57285,199713,36595,13072,130695,Reel,1902,819,1173,Negative
Instagram,11.9,1452,33826,162426,14043,11804,115065,Story,1306,1333,1167,Positive
Facebook,9.52,2903,49430,156576,7314,13423,100657,Article,5113,362,972,Negative
YouTube,7.19,1345,54427,62529,36687,19229,106787,Post,589,736,869,Positive
YouTube,12.39,2749,48080,170160,13416,22616,58043,Reel,2829,756,925,Positive
Instagram,5.11,589,13713,57178,49607,4904,51990,Reel,59,828,798,Negative
LinkedIn,4.86,1215,35712,101497,8615,13650,113816,Story,7499,67,1241,Negative
LinkedIn,11.24,1684,28384,19017,10544,7366,9702,Reel,454,827,518,Negative
Facebook,8.77,1868,46757,81642,23774,23624,11916,Post,4228,1173,1109,Negative
Facebook,5.53,250,25100,58091,22149,4644,38744,Article,3469,99,1096,Positive
Instagram,8.49,637,51125,50922,28738,4463,175016,Post,8477,393,990,Negative
LinkedIn,7.73,823,27198,151830,15454,11570,2252,Reel,4723,79,435,Positive
Instagram,9.44,2985,14949,56393,8217,7041,26934,Story,1381,253,166,Positive
YouTube,11.78,741,12854,184401,43288,18664,104196,Article,187,188,1425,Negative
Facebook,6.57,268,35169,74477,14588,5669,70836,Post,3868,47,111,Positive
LinkedIn,5.52,2342,14090,143709,22615,24171,59243,Article,9961,285,1219,Negative
LinkedIn,8.62,871,18161,29732,11514,24054,58108,Reel,5635,608,682,Positive
Instagram,5.21,2892,47144,148979,18977,27793,52745,Reel,9995,1841,1097,Negative
Facebook,8.35,2461,18478,187717,45362,19362,119831,Reel,4482,1054,804,Positive
YouTube,10.49,1476,30195,132374,17222,155,112317,Post,8200,82,1240,Negative
Facebook,5,2946,54391,137198,5322,18130,83838,Post,6556,1779,1298,Negative
Instagram,8.76,1415,16152,170590,45740,10367,2062,Reel,1346,1259,86,Negative
Instagram,5.46,2392,11596,110779,6368,9895,8561,Story,282,113,1170,Positive
YouTube,8.8,2281,20910,74479,12399,15828,24275,Story,2522,617,692,Negative
YouTube,9.07,2175,18554,18260,47245,3912,160096,Reel,1510,666,277,Negative
Instagram,6.47,2763,19613,188210,10789,14018,159518,Reel,8484,547,1064,Positive
YouTube,12.48,205,49427,160818,22550,8937,132189,Reel,2601,951,574,Positive
Instagram,8.95,1615,56153,47514,22900,6569,162177,Post,8965,229,532,Positive
YouTube,5.42,2337,20941,43533,2028,2017,21618,Story,7038,263,902,Negative
YouTube,5.58,2142,17865,134291,40009,18544,6287,Post,1669,325,1343,Positive
Facebook,10.58,2194,35534,80767,32493,26714,168330,Post,9360,1845,318,Negative
YouTube,7.77,2108,16567,102834,5456,19119,74698,Story,2610,1324,1344,Negative
YouTube,11.23,1072,38523,89861,21404,15624,151354,Story,127,1438,574,Negative
Facebook,11.52,2336,51303,191279,9710,29387,40711,Story,7854,426,1047,Positive
LinkedIn,9.12,2392,42016,12246,45758,20517,150453,Reel,3737,108,1063,Positive
Instagram,12.02,2638,25586,25519,31473,22051,188891,Story,5792,1697,1313,Negative
Instagram,11.65,619,59356,11789,32384,1220,45028,Reel,1000,293,1278,Negative
Instagram,10.21,716,54714,175944,46397,27529,187252,Story,6421,1905,216,Negative
YouTube,8.52,2294,26755,102195,3956,20709,148550,Story,6948,1960,1316,Negative
LinkedIn,9.29,1883,20298,127205,14353,11211,77325,Post,6216,819,346,Negative
LinkedIn,5.73,2388,15783,126885,44441,17468,147400,Story,9881,832,683,Negative
YouTube,9.02,1547,46727,1126,27832,8895,197382,Post,6074,1018,51,Positive
Instagram,11.97,1630,42560,77589,22316,3576,133717,Article,9447,987,825,Positive
LinkedIn,6.99,2618,10708,143766,9724,24877,40224,Reel,8020,579,244,Positive
Instagram,11.86,585,16070,127161,8866,25093,37368,Article,9196,880,763,Positive
Instagram,5.91,2190,13299,177837,20156,22459,47240,Reel,4430,67,1003,Negative
Instagram,4.6,1692,35696,71480,46363,19916,181912,Article,3751,346,476,Positive
Facebook,5.98,526,17984,2759,42149,26938,134554,Story,1001,727,1342,Negative
Instagram,6.03,628,50460,91397,7511,28171,150521,Reel,5540,1203,1010,Negative
Instagram,8.03,2361,19485,39565,25722,21410,66155,Reel,3385,929,55,Positive
LinkedIn,7.49,1681,18093,121993,47390,16538,106947,Article,3512,1377,1032,Positive
Facebook,6.28,2207,38678,77218,49348,8619,188445,Reel,3360,1257,579,Positive
Facebook,8.95,1487,15970,35911,21791,9603,192607,Post,2588,1940,452,Negative
Facebook,5.63,1109,55838,67358,17527,14389,7150,Post,9016,1701,151,Positive
LinkedIn,5.48,1114,21859,182532,31619,20661,140777,Reel,6902,1944,746,Positive
Instagram,7.4,595,58707,15596,33772,13321,133351,Post,7133,1895,854,Negative
YouTube,5.41,2879,10106,91093,49054,20707,169671,Reel,3236,1237,526,Positive
YouTube,10.09,1504,31752,56029,17885,19025,117739,Post,8683,33,1133,Negative
LinkedIn,9.97,2375,34665,170315,31853,26757,172024,Reel,7191,1406,588,Positive
Facebook,4.59,2274,48760,82182,17229,29502,5263,Post,6186,825,455,Negative
Facebook,11.2,901,59833,168469,20809,3167,39709,Story,2916,697,1316,Positive
Instagram,5.05,1519,32063,156834,11246,25926,117021,Post,4200,627,664,Negative
Instagram,10.36,1512,48483,115130,1962,15950,144184,Post,7724,369,482,Positive
Instagram,8.29,2320,23048,167183,38104,22244,35008,Reel,9180,1644,42,Positive
LinkedIn,5.11,1452,28587,21581,23593,23151,52474,Reel,4140,821,957,Positive
Instagram,10.02,1720,28491,133413,44823,24891,132410,Article,2758,1109,374,Negative
Instagram,12.34,2713,19918,91600,46817,24722,160007,Post,4856,405,981,Negative
Instagram,7,534,16820,25070,4432,11222,81559,Article,1571,831,727,Positive
Instagram,10.46,2619,33510,20426,37465,17950,67150,Reel,7743,1187,1176,Positive
YouTube,5.46,1321,24514,135055,31905,20762,24510,Article,8280,1555,497,Negative
Facebook,9.79,2969,56288,80273,9523,15329,111017,Story,8980,1198,546,Negative
LinkedIn,11.5,1497,56543,145991,4010,7306,108309,Article,2082,481,318,Positive
YouTube,9.52,1971,18616,103665,40037,17404,25574,Story,4485,393,577,Negative
Facebook,5.38,1365,32951,33413,35001,22951,164985,Post,4438,1693,432,Positive
Facebook,12.4,2832,12494,123744,24095,9255,44001,Reel,9180,1408,710,Positive
YouTube,11.57,210,37757,35636,14761,15612,25262,Article,5740,1612,1334,Positive
LinkedIn,8.6,425,57976,117953,17520,27476,187626,Article,3895,1545,54,Positive
LinkedIn,11.57,1243,26297,31448,26372,10206,8657,Story,9091,66,1169,Negative
LinkedIn,11.03,980,15287,34660,10422,27836,191792,Article,1983,1385,1291,Positive
YouTube,6.62,1187,40284,66160,17802,5116,89801,Article,9802,1289,1419,Positive
Instagram,7.77,1174,12133,153826,4172,5395,113217,Post,8278,1344,973,Negative
Facebook,12.43,1337,17516,116005,2596,18646,151201,Story,1641,1068,40,Positive
Facebook,6.64,1485,28695,8314,19823,2239,197154,Article,1754,785,363,Positive
Facebook,11.94,555,28670,70274,2669,21279,154606,Reel,606,830,761,Positive
LinkedIn,11.11,2919,30890,168581,42734,4098,93241,Article,8830,1552,295,Negative
YouTube,5.17,1890,9136,129232,35032,29131,164038,Post,4593,860,365,Positive
YouTube,5.36,2661,52486,30257,21936,9539,145353,Story,1485,576,335,Negative
Facebook,5.32,1419,15059,84807,45739,17749,139563,Story,1090,528,918,Positive
Instagram,8.29,221,28953,115682,2553,23921,169639,Story,8526,720,763,Positive
YouTube,10.57,1230,52064,8813,31798,14514,94106,Story,9695,742,1309,Negative
Facebook,5.32,238,11342,42846,35812,10496,149554,Article,1873,1158,974,Negative
Instagram,5.55,2995,36087,98883,33956,20600,171286,Article,4229,1802,1477,Positive
LinkedIn,7.77,1133,27982,134052,48490,26531,85976,Reel,841,1552,1295,Negative
YouTube,8.85,1283,47341,116672,5976,3776,140783,Story,1100,1714,199,Positive
Facebook,5.55,892,13655,45859,15451,24209,1526,Reel,1925,1768,521,Negative
YouTube,8.43,2973,13109,50268,35401,21947,83503,Story,3838,725,72,Positive
Instagram,9.94,537,25773,127446,41325,26243,7154,Reel,8970,805,102,Positive
YouTube,10.29,1311,17768,175480,39699,27612,184341,Article,8833,1338,1110,Negative
YouTube,7.27,1135,30431,62681,49353,6468,159496,Reel,1999,1957,589,Negative
Instagram,7.68,2441,23525,155470,33057,18193,76897,Post,3091,110,887,Negative
Facebook,12.11,516,46850,181858,2125,18540,118832,Story,9681,557,1394,Negative
YouTube,12.08,2083,11389,157755,13829,28882,25826,Story,508,1112,208,Negative
Instagram,11.04,609,41662,99818,21488,24351,96081,Post,7229,91,909,Positive
Facebook,9.43,949,12780,29380,44862,2456,71326,Article,356,1840,914,Positive
Instagram,7.16,511,10920,192387,14225,9046,177572,Reel,6128,1235,353,Positive
YouTube,5.89,1948,57310,60321,1156,2171,75131,Reel,9629,1410,532,Negative
YouTube,8.85,807,14563,157921,32060,22115,44585,Story,9683,936,295,Negative
LinkedIn,9.24,1469,29116,129267,48564,629,127503,Reel,3008,1765,867,Negative
YouTube,7.74,677,54678,143633,42099,625,89397,Post,424,297,837,Negative
Facebook,8,1725,38523,99317,4799,2378,179136,Article,8371,1771,838,Positive
LinkedIn,7,227,10113,65674,43206,13860,153999,Article,7112,1331,287,Positive
Instagram,5.09,469,18831,121585,11283,13249,20816,Reel,6326,1304,972,Positive
Facebook,5.84,2203,50267,36946,6316,15663,93324,Reel,3618,1660,156,Positive
LinkedIn,8.97,1474,58108,35707,20537,27057,82537,Reel,9558,1048,282,Positive
Facebook,5.48,397,18724,160476,38146,7080,161928,Reel,1279,1040,490,Negative
Facebook,8.34,1474,56938,197733,45472,23957,62212,Reel,5392,1212,495,Positive
Instagram,7.24,1517,20115,40062,23111,5857,33556,Article,2019,750,892,Positive
YouTube,12.26,328,49974,155268,40487,13769,169452,Story,1248,1830,1217,Positive
LinkedIn,12.06,2193,36625,25089,36687,402,111448,Article,1036,1868,345,Negative
YouTube,9.91,1510,55055,20508,42487,13480,159056,Post,8175,1248,1010,Negative
Instagram,7.04,1312,53743,159280,19814,588,171954,Article,3223,498,19,Negative
Instagram,10.6,1200,56406,157498,17972,5550,4712,Article,8239,826,455,Positive
Facebook,7.1,910,42958,141180,12378,2975,163396,Reel,1490,309,736,Positive
LinkedIn,6.32,2209,52298,192305,25737,3089,78576,Story,6278,1822,328,Negative
Instagram,8.33,2876,9177,136832,32979,21736,82889,Article,8284,948,343,Negative
Instagram,10.24,1090,47338,190420,24796,506,65106,Story,4481,1843,1141,Negative
LinkedIn,6.45,914,44914,111350,45579,13176,169722,Post,6062,968,1008,Positive
YouTube,9.86,1892,14894,145539,31210,23795,115793,Article,9923,6,589,Negative
Instagram,5.48,1486,56478,176211,48913,29834,73588,Story,3704,963,312,Positive
Instagram,5.98,1151,32611,120891,42635,12249,101102,Post,9650,1200,1400,Positive
Instagram,5.4,2388,23222,197501,23869,1400,141507,Reel,3147,525,10,Negative
Instagram,7.39,2929,14295,120503,36193,29630,35084,Article,6857,535,1084,Positive
Instagram,10.98,1114,24035,197553,3240,9754,128556,Story,9826,487,1132,Negative
Facebook,6.23,861,19695,69388,16214,27142,165827,Story,7377,1551,650,Positive
Instagram,9.56,640,15421,18727,47082,4458,66108,Post,9819,1402,637,Positive
Facebook,10.04,1198,52311,161443,38667,17725,34893,Post,9432,625,1006,Negative
YouTube,9.66,2122,24456,32367,10306,5289,69008,Story,757,1809,561,Negative
Instagram,9.86,2675,44378,136327,14684,27499,57549,Article,9827,71,1014,Negative
Facebook,8.15,541,40581,137321,19401,27337,190648,Story,9736,1826,116,Negative
Instagram,9,2700,50828,49604,10726,3474,26592,Story,257,622,446,Negative
Facebook,11.07,856,54479,152175,40091,10854,82437,Reel,7496,352,627,Negative
Instagram,12.44,1471,49323,19752,32576,16769,99452,Article,4087,410,978,Negative
LinkedIn,11.42,1212,19023,11699,9915,19269,119413,Article,4626,1691,114,Positive
Instagram,7.55,2210,55864,130992,19080,22446,128810,Article,9967,1435,1220,Negative
